date,sec_code,name,market,sector,alert_section,is_supervised,close,last_quote,volume_k,traded,turnover
2026-08-20,138A,光フードサービス,ネクスト市場,小売業,,False,,3145.0,0.0,False,0.0
2026-08-20,1438,岐阜造園,メイン市場,建設業,,False,,2346.0,0.0,False,0.0
2026-08-20,1444,ニッソウ,ネクスト市場,建設業,,False,,2655.0,0.0,False,0.0
2026-08-20,1738,ＮＩＴＴＯＨ,メイン市場,建設業,,False,577.0,,0.1,True,57700.0
2026-08-20,1766,東建コーポ,プレミア市場,建設業,,False,,13430.0,0.0,False,0.0
2026-08-20,1777,川崎設備,メイン市場,建設業,,False,2344.0,,1.6,True,3750400.0
2026-08-20,1780,ヤマウラ,プレミア市場,建設業,,False,,1473.0,0.0,False,0.0
2026-08-20,1801,大成建,プレミア市場,建設業,,False,,12555.0,0.0,False,0.0
2026-08-20,1803,清水建,プレミア市場,建設業,,False,,2342.0,0.0,False,0.0
2026-08-20,1811,銭高組,メイン市場,建設業,,False,,7940.0,0.0,False,0.0
2026-08-20,1812,鹿島,プレミア市場,建設業,,False,,4841.0,0.0,False,0.0
2026-08-20,1869,名工建,メイン市場,建設業,,False,1903.0,,1.7,True,3235100.0
2026-08-20,1870,矢作建,プレミア市場,建設業,,False,,2107.0,0.0,False,0.0
2026-08-20,1878,大東建,プレミア市場,不動産業,,False,,3278.0,0.0,False,0.0
2026-08-20,1892,徳倉建,メイン市場,建設業,,False,,7810.0,0.0,False,0.0
2026-08-20,1893,五洋建,プレミア市場,建設業,,False,,1428.0,0.0,False,0.0
2026-08-20,1928,積水ハウス,プレミア市場,建設業,,False,,3437.0,0.0,False,0.0
2026-08-20,1946,トーエネック,プレミア市場,建設業,,False,,2120.0,0.0,False,0.0
2026-08-20,2053,中部飼料,プレミア市場,食料品,,False,,2034.0,0.0,False,0.0
2026-08-20,212A,フィットイージー,プレミア市場,サービス業,,False,,3095.0,0.0,False,0.0
2026-08-20,2139,中広,プレミア市場,サービス業,,False,,523.0,0.0,False,0.0
2026-08-20,2169,ＣＤＳ,プレミア市場,サービス業,,False,,1720.0,0.0,False,0.0
2026-08-20,2185,シイエム・シイ,プレミア市場,サービス業,,False,,1904.0,0.0,False,0.0
2026-08-20,2207,ｍｅｉｔｏ,プレミア市場,食料品,,False,,3675.0,0.0,False,0.0
2026-08-20,2209,井村屋Ｇ,プレミア市場,食料品,,False,,2402.0,0.0,False,0.0
2026-08-20,2224,コモ,メイン市場,食料品,,False,,3725.0,0.0,False,0.0
2026-08-20,2327,ＮＳＳＯＬ,メイン市場,情報・通信業,,False,,3896.0,0.0,False,0.0
2026-08-20,2329,東北新社,メイン市場,情報・通信業,,False,,485.0,0.0,False,0.0
2026-08-20,2351,ＡＳＪ,メイン市場,情報・通信業,,False,,318.0,0.0,False,0.0
2026-08-20,2376,サイネックス,メイン市場,サービス業,,False,,790.0,0.0,False,0.0
2026-08-20,2424,ブラス,プレミア市場,サービス業,,False,,601.0,0.0,False,0.0
2026-08-20,2435,シダー,メイン市場,サービス業,,False,,214.0,0.0,False,0.0
2026-08-20,2467,ＶＬＣセキュリティ,ネクスト市場,サービス業,,False,179.0,,9.5,True,1700500.0
2026-08-20,246A,アスア,メイン市場,サービス業,,False,,911.0,0.0,False,0.0
2026-08-20,2479,ジェイテック,メイン市場,サービス業,,False,,245.0,0.0,False,0.0
2026-08-20,2480,シスロケ,メイン市場,情報・通信業,,False,,1728.0,0.0,False,0.0
2026-08-20,2485,ティア,プレミア市場,サービス業,,False,,446.0,0.0,False,0.0
2026-08-20,2551,マルサンアイ,メイン市場,食料品,,False,3575.0,,0.1,True,357500.0
2026-08-20,259A,ケイ・ウノ,ネクスト市場,小売業,,False,1720.0,,0.3,True,516000.0
2026-08-20,2722,ＩＫホールディングス,プレミア市場,小売業,,False,,359.0,0.0,False,0.0
2026-08-20,2734,サーラ,プレミア市場,小売業,,False,,1228.0,0.0,False,0.0
2026-08-20,2753,あみやき,プレミア市場,小売業,,False,,1397.0,0.0,False,0.0
2026-08-20,275A,ハンワホームズ,ネクスト市場,建設業,,False,386.0,,0.6,True,231600.0
2026-08-20,2778,パレモ・ＨＤ,メイン市場,小売業,,False,,111.0,0.0,False,0.0
2026-08-20,2780,コメ兵ＨＤ,メイン市場,小売業,,False,,5310.0,0.0,False,0.0
2026-08-20,2806,ユタカフーズ,メイン市場,食料品,,False,,1889.0,0.0,False,0.0
2026-08-20,2811,カゴメ,プレミア市場,食料品,,False,,2698.5,0.0,False,0.0
