sec_code,company_name,market,as_of
1301,極洋,プライム（内国株式）,20260904
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,20260904
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,20260904
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,20260904
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,20260904
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,20260904
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,20260904
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,20260904
131A,ＣＣＮグループ,PRO Market,20260904
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,20260904
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,20260904
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,20260904
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,20260904
1326,ＳＰＤＲゴールド・シェア,ETF・ETN,20260904
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,20260904
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,20260904
132A,アイエヌホールディングス,PRO Market,20260904
1330,上場インデックスファンド２２５,ETF・ETN,20260904
1332,ニッスイ,プライム（内国株式）,20260904
1333,Ｕｍｉｏｓ,プライム（内国株式）,20260904
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,20260904
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,20260904
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,20260904
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,20260904
1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,20260904
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,20260904
134A,アプライズ,PRO Market,20260904
1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,20260904
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,20260904
1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,20260904
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,20260904
1360,日経平均ベア２倍上場投信,ETF・ETN,20260904
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,20260904
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,20260904
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN,20260904
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,20260904
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,20260904
1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,20260904
1375,ユキグニファクトリー,プライム（内国株式）,20260904
1376,カネコ種苗,スタンダード（内国株式）,20260904
1377,サカタのタネ,プライム（内国株式）,20260904
1379,ホクト,プライム（内国株式）,20260904
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,20260904
1380,秋川牧園,スタンダード（内国株式）,20260904
1381,アクシーズ,スタンダード（内国株式）,20260904
1382,ホーブ,スタンダード（内国株式）,20260904
1383,ベルグアース,スタンダード（内国株式）,20260904
1384,ホクリヨウ,スタンダード（内国株式）,20260904
138A,光フードサービス,グロース（内国株式）,20260904
1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,20260904
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,20260904
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,20260904
139A,東日本地所,PRO Market,20260904
1401,エムビーエス,グロース（内国株式）,20260904
1407,ウエストホールディングス,スタンダード（内国株式）,20260904
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF・ETN,20260904
1414,ショーボンドホールディングス,プライム（内国株式）,20260904
1417,ミライト・ワン,プライム（内国株式）,20260904
1418,インターライフホールディングス,スタンダード（内国株式）,20260904
1419,タマホーム,プライム（内国株式）,20260904
141A,トライアルホールディングス,グロース（内国株式）,20260904
1420,サンヨーホームズ,スタンダード（内国株式）,20260904
1429,日本アクア,プライム（内国株式）,20260904
142A,ジンジブ,グロース（内国株式）,20260904
1430,ファーストコーポレーション,スタンダード（内国株式）,20260904
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,20260904
1432,動力,PRO Market,20260904
1433,ベステラ,プライム（内国株式）,20260904
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,20260904
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,20260904
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,20260904
1438,岐阜造園,スタンダード（内国株式）,20260904
143A,イシン,グロース（内国株式）,20260904
1443,技研ホールディングス,スタンダード（内国株式）,20260904
1444,ニッソウ,グロース（内国株式）,20260904
1445,ひかりホールディングス,PRO Market,20260904
1446,キャンディル,スタンダード（内国株式）,20260904
1447,ＳＡＡＦホールディングス,グロース（内国株式）,20260904
144A,エネルギーパワー,PRO Market,20260904
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,20260904
1452,横浜ライト工業,PRO Market,20260904
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ETF・ETN,20260904
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,20260904
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,20260904
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,20260904
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,20260904
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,20260904
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,20260904
146A,コロンビア・ワークス,スタンダード（内国株式）,20260904
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,20260904
1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,20260904
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,20260904
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,20260904
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,20260904
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,20260904
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,20260904
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,20260904
147A,ソラコム,グロース（内国株式）,20260904
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,20260904
1481,上場インデックスファンド日本経済貢献株,ETF・ETN,20260904
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,20260904
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,20260904
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,20260904
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,20260904
1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,20260904
1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,20260904
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ETF・ETN,20260904
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,20260904
148A,ハッチ・ワーク,グロース（内国株式）,20260904
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,20260904
1491,中外鉱業,スタンダード（内国株式）,20260904
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN,20260904
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN,20260904
1495,上場インデックスファンドアジアリート,ETF・ETN,20260904
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,20260904
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,20260904
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN,20260904
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN,20260904
149A,シンカ,グロース（内国株式）,20260904
150A,ＪＳＨ,グロース（内国株式）,20260904
1514,住石ホールディングス,スタンダード（内国株式）,20260904
1515,日鉄鉱業,プライム（内国株式）,20260904
1518,三井松島ホールディングス,プライム（内国株式）,20260904
151A,ダイブグループ,グロース（内国株式）,20260904
152A,オプティ,PRO Market,20260904
153A,カウリス,グロース（内国株式）,20260904
1540,純金上場信託（現物国内保管型）,ETF・ETN,20260904
1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN,20260904
1542,純銀上場信託（現物国内保管型）,ETF・ETN,20260904
1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN,20260904
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ETF・ETN,20260904
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ETF・ETN,20260904
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF・ETN,20260904
154A,ＧＡＩＡ,PRO Market,20260904
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF・ETN,20260904
1551,東証スタンダードＴＯＰ２０ＥＴＦ,ETF・ETN,20260904
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF・ETN,20260904
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,ETF・ETN,20260904
1557,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,ETF・ETN,20260904
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF・ETN,20260904
155A,情報戦略テクノロジー,グロース（内国株式）,20260904
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF・ETN,20260904
1563,東証グロース・コアＥＴＦ,ETF・ETN,20260904
1566,上場インデックスファンド新興国債券,ETF・ETN,20260904
1568,ＴＯＰＩＸブル２倍上場投信,ETF・ETN,20260904
1569,ＴＯＰＩＸベア上場投信,ETF・ETN,20260904
156A,マテリアルグループ,グロース（内国株式）,20260904
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF・ETN,20260904
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF・ETN,20260904
1572,中国Ｈ株ブル２倍上場投信,ETF・ETN,20260904
1573,中国Ｈ株ベア上場投信,ETF・ETN,20260904
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF・ETN,20260904
1578,上場インデックスファンド日経２２５（ミニ）,ETF・ETN,20260904
1579,日経平均ブル２倍上場投信,ETF・ETN,20260904
157A,グリーンモンスター,グロース（内国株式）,20260904
1580,日経平均ベア上場投信,ETF・ETN,20260904
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,20260904
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,20260904
158A,エクセリ,PRO Market,20260904
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF・ETN,20260904
1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF・ETN,20260904
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF・ETN,20260904
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF・ETN,20260904
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,20260904
1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF・ETN,20260904
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,ETF・ETN,20260904
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,ETF・ETN,20260904
1605,ＩＮＰＥＸ,プライム（内国株式）,20260904
160A,アズパートナーズ,スタンダード（内国株式）,20260904
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF・ETN,20260904
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
161A,三葉,PRO Market,20260904
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
162A,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,ETF・ETN,20260904
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,20260904
163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,ETF・ETN,20260904
164A,アップルパーク,PRO Market,20260904
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,ETF・ETN,20260904
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN,20260904
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN,20260904
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN,20260904
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN,20260904
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF・ETN,20260904
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,ETF・ETN,20260904
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN,20260904
1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN,20260904
1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN,20260904
1662,石油資源開発,プライム（内国株式）,20260904
1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,20260904
166A,タスキホールディングス,プライム（内国株式）,20260904
1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN,20260904
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN,20260904
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN,20260904
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN,20260904
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN,20260904
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN,20260904
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN,20260904
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,ETF・ETN,20260904
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,ETF・ETN,20260904
167A,リョーサン菱洋ホールディングス,プライム（内国株式）,20260904
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF・ETN,20260904
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,ETF・ETN,20260904
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN,20260904
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN,20260904
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN,20260904
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN,20260904
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN,20260904
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN,20260904
168A,イタミアート,グロース（内国株式）,20260904
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN,20260904
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN,20260904
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN,20260904
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN,20260904
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF・ETN,20260904
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF・ETN,20260904
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN,20260904
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN,20260904
